===Database websyslab8

== Table structure for table grades

|------
|Column|Type|Null|Default
|------
|//**id**//|int(11)|No|
|crn|int(11)|No|
|rin|int(9)|No|
|grade|int(3)|No|
== Dumping data for table grades

|1922355554|38132|527070068|80
|0961206656|39066|527070068|100
|1392762341|38132|382373010|98
|0766603131|38201|527070068|23
|1235081465|38132|123601163|45
|0655891091|39066|382373010|76
|1204434709|37385|527070068|67
|0953924192|38132|033654557|87
|0040393492|39062|382373010|89
|0001881986|35098|123601163|99
|1307549882|39066|123601163|76
|1665351371|38569|123601163|86
|1681317961|35804|033654557|87
|1957716333|35685|033654557|34
|1000076298|37915|033654557|57
|0742603433|38201|102074004|79
|1832937544|37385|102074004|78
|1480657479|39062|102074004|93
|0240683558|38132|971439580|95
|1726389275|39066|102074004|98
